date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
11-Aug-06,B,yes,in,2,9,14,9,9,0,,,,,0,0,0,0,0,1,1.176091259,0,0,0,1,0.125,2,0.076923077,,,,,
11-Aug-06,C,yes,in,3,16,4,7,7,33,,,,,0,0,0,0,5,1.230448921,0.698970004,1.531478917,0,0.225513406,-1,-0.125,0,0,,,,,
11-Aug-06,D,yes,in,4,2,0,5,5,12,,,,,0,0,0,0,0,0.477121255,0,1.113943352,0,0,0,0,5,0.384615385,,,,,
11-Aug-06,E,yes,in,5,7,1,1,2,16,,,,,0,0,0,0,1,0.903089987,0.301029996,1.230448921,0,0.100167421,-1,-0.5,-4,-0.8,,,,,
11-Aug-06,F,yes,in,6,5,38,3,3,5,,,,,0,0,0,0,0,0.77815125,1.591064607,0.77815125,0,0,0,0,-12,-0.6,,,,,
11-Aug-06,A,yes,out,7,5,2,,,8,,,,,0,0,0,0,0,0.77815125,0.477121255,0.954242509,0,0,,,,,,,,,
11-Aug-06,B,yes,out,8,13,18,,,6,,,,,5,0,0,5,10,1.146128036,1.278753601,0.84509804,0.225513406,0.321750554,,,,,,,,,
11-Aug-06,C,yes,out,9,2,12,,,11,,,,,5,0,0,5,2,0.477121255,1.113943352,1.079181246,0.225513406,0.141897055,,,,,,,,,
11-Aug-06,D,yes,out,10,2,1,,,25,,,,,0,0,0,0,0,0.477121255,0.301029996,1.414973348,0,0,,,,,,,,,
11-Aug-06,E,yes,out,11,3,2,,,19,,,,,0,0,0,0,1,0.602059991,0.477121255,1.301029996,0,0.100167421,,,,,,,,,
11-Aug-06,F,yes,out,12,3,46,,,12,,,,,0,0,0,0,1,0.602059991,1.672097858,1.113943352,0,0.100167421,,,,,,,,,
11-Aug-06,A,yes,con,13,12,5,3,3,32,,,,,0,0,0,0,0,1.113943352,0.77815125,1.51851394,0,0,2,2,,,,,,,
11-Aug-06,B,yes,con,14,39,25,3,3,13,,,,,0,0,0,0,0,1.602059991,1.414973348,1.146128036,0,0,-6,-0.666666667,,,,,,,
11-Aug-06,C,yes,con,15,7,8,5,5,17,,,,,0,0,0,0,1,0.903089987,0.954242509,1.255272505,0,0.100167421,-2,-0.285714286,,,,,,,
11-Aug-06,D,yes,con,16,5,0,7,7,18,,,,,0,0,0,0,0,0.77815125,0,1.278753601,0,0,3,0.75,,,,,,,
11-Aug-06,E,yes,con,17,6,1,0,0,6,,,,,0,0,0,0,1,0.84509804,0.301029996,0.84509804,0,0.100167421,0,#DIV/0!,,,,,,,
11-Aug-06,F,yes,con,18,8,73,0,0,1,,,,,0,0,0,0,0,0.954242509,1.86923172,0.301029996,0,0,-4,-1,,,,,,,
11-Aug-06,A,no,in,19,0,0,2,2,2,,,,,0,0,0,0,0,0,0,0.477121255,0,0,-1,-0.333333333,,,,,,,
11-Aug-06,B,no,in,20,6,31,6,6,0,,,,,0,0,0,0,0,0.84509804,1.505149978,0,0,0,-1,-0.142857143,,,,,,,
11-Aug-06,C,no,in,21,3,8,7,7,6,,,,,0,0,0,0,0,0.602059991,0.954242509,0.84509804,0,0,-1,-0.125,,,,,,,
11-Aug-06,D,no,in,22,1,0,4,4,1,,,,,0,0,0,0,0,0.301029996,0,0.301029996,0,0,0,0,,,,,,,
11-Aug-06,E,no,in,23,0,0,0,2,2,,,,,0,0,0,0,0,0,0,0.477121255,0,0,-2,-1,,,,,,,
11-Aug-06,F,no,in,24,2,9,4,4,0,,,,,0,0,0,0,0,0.477121255,1,0,0,0,0,0,,,,,,,
