date,time,number,temp
07/11/2006,12:01:00,1,21.5
07/11/2006,13:01:00,1,26.5
07/11/2006,14:01:00,1,24.5
07/11/2006,15:01:00,1,22
07/11/2006,16:01:00,1,22.5
07/11/2006,17:01:00,1,22
07/11/2006,18:01:00,1,23
07/11/2006,19:01:00,1,20.5
07/11/2006,20:01:00,1,18
07/11/2006,21:01:00,1,17.5
07/11/2006,22:01:00,1,16
07/11/2006,23:01:00,1,15.5
07/12/2006,0:01:00,1,14.5
07/12/2006,1:01:00,1,13.5
07/12/2006,2:01:00,1,13
07/12/2006,3:01:00,1,12.5
07/12/2006,4:01:00,1,13
07/12/2006,5:01:00,1,13
07/12/2006,6:01:00,1,13
07/12/2006,7:01:00,1,13.5
07/12/2006,8:01:00,1,13.5
07/12/2006,9:01:00,1,14
07/12/2006,10:01:00,1,15
07/12/2006,11:01:00,1,16
07/12/2006,12:01:00,1,16
07/12/2006,13:01:00,1,17
07/12/2006,14:01:00,1,18
07/12/2006,15:01:00,1,16
07/12/2006,16:01:00,1,16
07/12/2006,17:01:00,1,16.5
07/12/2006,18:01:00,1,16
07/12/2006,19:01:00,1,14
07/12/2006,20:01:00,1,13.5
07/12/2006,21:01:00,1,13.5
07/12/2006,22:01:00,1,13
07/12/2006,23:01:00,1,13
07/13/2006,0:01:00,1,13.5
07/13/2006,1:01:00,1,13.5
07/13/2006,2:01:00,1,12.5
07/13/2006,3:01:00,1,12
07/13/2006,4:01:00,1,12
07/13/2006,5:01:00,1,12
07/13/2006,6:01:00,1,12
07/13/2006,7:01:00,1,12
07/13/2006,8:01:00,1,12.5
07/13/2006,9:01:00,1,14
07/13/2006,10:01:00,1,15
07/13/2006,11:01:00,1,15
07/13/2006,12:01:00,1,16.5
07/13/2006,13:01:00,1,19.5
07/13/2006,14:01:00,1,17.5
07/13/2006,15:01:00,1,13.5
07/13/2006,16:01:00,1,13
07/13/2006,17:01:00,1,13.5
07/13/2006,18:01:00,1,14.5
07/13/2006,19:01:00,1,14
07/13/2006,20:01:00,1,13.5
07/13/2006,21:01:00,1,13
07/13/2006,22:01:00,1,12.5
07/13/2006,23:01:00,1,12.5
07/14/2006,0:01:00,1,12.5
07/14/2006,1:01:00,1,12
07/14/2006,2:01:00,1,12
07/14/2006,3:01:00,1,12
07/14/2006,4:01:00,1,12
07/14/2006,5:01:00,1,12
07/14/2006,6:01:00,1,12
