date,sp,barnacles,size_mm
2007-10-27,lsc,yes,3.043
2007-10-27,lsc,yes,2.516
2007-10-27,lsc,yes,3.061
2007-10-27,lsc,yes,2.201
2007-10-27,lsc,yes,2.776
2007-10-27,lsc,yes,2.029
2007-10-27,lsc,yes,2.853
2007-10-27,lsc,yes,1.283
2007-10-27,lsc,yes,2.461
2007-10-27,lsc,yes,2.122
2007-10-27,lsc,yes,3.039
2007-10-27,lsc,yes,1.814
2007-10-27,lsc,yes,1.77
2007-10-27,lsc,yes,5.03
2007-10-27,lsc,yes,2.408
2007-10-27,lsc,yes,3.051
2007-10-27,lsc,yes,4.86
2007-10-27,lsc,yes,4.225
2007-10-27,lsc,yes,2.007
2007-10-27,lsc,yes,2.249
2007-10-27,lsc,yes,2.838
2007-10-27,lsc,yes,1.534
2007-10-27,lsc,yes,3.485
2007-10-27,lsc,yes,2.692
2007-10-27,lsc,yes,5.999
2007-10-27,lsc,yes,2.9
2007-10-27,lsc,yes,2.361
2007-10-27,lsc,yes,3.148
2007-10-27,lsc,yes,2.872
2007-10-27,lsc,yes,2.047
2007-10-27,lsc,yes,2.333
2007-10-27,lsc,yes,1.605
2007-10-27,lsc,yes,1.933
2007-10-27,lsc,yes,2.589
2007-10-27,lsc,yes,2.692
2007-10-27,lsc,yes,3.985
2007-10-27,lsc,yes,2.169
2007-10-27,lsc,yes,2.746
2007-10-27,lsc,yes,2.922
2007-10-27,lsc,yes,3.135
2007-10-27,lsc,yes,4.667
2007-10-27,lsc,yes,2.84
2007-10-27,lsc,yes,2.101
2007-10-27,lsc,yes,3.597
2007-10-27,lsc,yes,2.576
2007-10-27,lsc,yes,2.719
2007-10-27,lsc,yes,2.309
2007-10-27,lsc,yes,2.7
2007-10-27,lsc,yes,2.939
2007-10-27,lsc,yes,3.302
2007-10-27,lsc,yes,2.616
2007-10-27,lsc,yes,3.942
2007-10-27,lsc,yes,2.974
2007-10-27,lsc,yes,4.638
2007-10-27,lsc,yes,1.729
2007-10-27,lsc,yes,2.944
2007-10-27,lsc,yes,3.405
2007-10-27,lsc,yes,2.939
